,タイムスタンプ,氏名,Unnamed: 2,授業内容（記入例：カラン〇　100-102),レッスン内容,不明・その他の場合メモ
135,7/16/2020 16:51:22,岡田准一,,Callan 3 165very まで,初級,
136,7/16/2020 16:55:17,"相葉雅紀, 阿部寛, 岡田准一",,Callan 9 820-827,中級,
137,7/16/2020 18:16:19,山田孝之,,中学1年生の教科書　let’s take doggy bags!,初級,
138,7/16/2020 18:59:29,"浅田真央, 内村光良",,Dictation ,中級,
139,7/16/2020 19:00:11,渡辺直美,,"Callan 5,6 pg 337 ",中級,
140,7/16/2020 19:40:29,福山雅治,,Callan 9 p864,中上級,
141,7/17/2020 11:07:19,北川景子,,Callan 2 116まで,初級,
142,7/17/2020 18:33:43,渡辺直美,,Callan 8 741 まで,中級,
143,7/17/2020 19:02:54,"浅田真央, 上戸彩",,Speaking ,その他,
144,7/17/2020 19:36:09,福山雅治,,Callan 9 872 actまで,中級,
145,7/17/2020 19:37:41,"相葉雅紀, 深田恭子",,callan 9 832まで,中級,
146,7/17/2020 19:38:58,大泉洋,,callan5362-364,初級,
147,7/18/2020 12:01:40,明石家さんま,,callan 3 159?165merry,初級,
148,7/18/2020 17:21:16,岡田准一,,Callan 3 p29-33,初級,
149,7/18/2020 17:24:18,綾瀬はるか,,Callan6 p448. ディクトレ31-35,中級,
150,7/18/2020 17:26:10,福士蒼汰,,callan6 p447、448、ディクトレ31-35,中級,
151,7/18/2020 17:27:29,イモトアヤコ,,callan6 p447、448,中級,
152,7/18/2020 18:35:26,渡辺直美,,callan 5 p5-9,中級,
153,7/19/2020 9:37:05,渡辺直美,,callan 5 p5-9,中級,
154,7/19/2020 10:18:43,明石家さんま,,callan 3 159?165merry,初級,
155,7/19/2020 12:12:07,福士蒼汰,,callan６，４５１　whateverまで,中級,
156,7/19/2020 17:26:45,"明石家さんま, 岡田准一",,"Callan 3 212-213,  165-166",初級,
157,7/19/2020 18:08:50,渡辺直美,,callan 4 310まで,中級,
158,7/19/2020 18:10:08,"綾瀬はるか, 出川哲郎, イモトアヤコ",,callan 4 304まで,初級,
159,7/21/2020 9:45:00,"綾瀬はるか, 出川哲郎, イモトアヤコ",,callan 4 304まで,初級,
160,7/21/2020 12:14:39,"深田恭子, 北川景子",,callan 2 116?最後まで,初級,
161,7/21/2020 18:14:14,"タモリ, サンドウィッチマン",,Callan lesson 75 of course から,中級,
162,7/21/2020 19:09:38,"米倉涼子, いとうあさこ",,callan5   p2のstupid まで,初級,
163,7/22/2020 16:08:29,"相葉雅紀, 阿部サダヲ, 阿部寛",,callan  9 861 まで,中級,
164,7/22/2020 16:23:35,"大泉洋, 出川哲郎",,Callan 2 85まで,初級,
165,7/22/2020 18:07:54,"吉田羊, 米倉涼子, いとうあさこ",,Callan 5 simply ,,
166,7/22/2020 19:52:56,岡田准一,,Callan4 217まで,初級,
167,7/22/2020 19:53:01,"吉田羊, 米倉涼子, いとうあさこ",,Callan 5 simply ,,
168,7/22/2020 19:54:50,渡辺直美,,callan5 26 althoughまで,中級,
169,7/23/2020 12:11:00,"阿部サダヲ, イモトアヤコ",,CNN ニュース記事を読む,中上級,
170,7/23/2020 15:35:34,"阿部サダヲ, イモトアヤコ",,CNN ニュース記事を読む,中上級,
171,7/23/2020 17:12:28,明石家さんま,,callan3  p168-172  紙の本　stage3,初級,
172,7/23/2020 18:07:35,岡田准一,,callan 3 p37ー40 ,初級,
173,7/23/2020 19:07:03,"渡辺直美, 福山雅治",,callan 5 p10-13,中級,
174,7/24/2020 11:03:17,イモトアヤコ,,callan 5 318 should まで,初級,
175,7/24/2020 14:46:44,岡田准一,,Callan 3 40-45 containまで,初級,
176,7/24/2020 14:46:56,岡田准一,,callan 3 p37ー40 ,初級,
177,7/24/2020 16:28:49,明石家さんま,,Callan3 172-181 sometimes,初級,
178,7/24/2020 18:04:43,福山雅治,,Callan 9 880まで,中級,
179,7/25/2020 10:03:45,福山雅治,,Callan 9 880まで,中級,
180,7/25/2020 11:58:06,福士蒼汰,,Callan6 454 judgeまで,初級,
181,7/25/2020 13:21:06,福士蒼汰,,Callan6 454 judgeまで,初級,
182,7/25/2020 18:34:37,"綾瀬はるか, 出川哲郎, 岡田准一",,callan3 p45ー47 web版,初級,
183,7/25/2020 18:37:37,福山雅治,,callan grade9. P880-883,中上級,
184,7/25/2020 18:38:49,明石家さんま,, Callan 3 p181-185 roundまで　紙の本,初級,
185,7/25/2020 18:39:59,イモトアヤコ,,callan stage5 p319-321紙の本,中級,
186,7/26/2020 9:37:57,イモトアヤコ,,callan stage5 p319-321紙の本,中級,
187,7/26/2020 12:17:37,福士蒼汰,,callan 6 459 ground,中級,
188,7/26/2020 17:02:10,明石家さんま,,Callan 3 185-194 教科書,初級,
189,7/26/2020 17:05:36,"綾瀬はるか, 出川哲郎, 岡田准一",,callan 3 45?49,初級,
190,7/26/2020 17:07:44,"渡辺直美, イモトアヤコ",,callan 333 fault まで,中級,
191,7/27/2020 9:39:32,福士蒼汰,,callan 6 459 ground,中級,
192,7/27/2020 11:05:48,北川景子,,Callan 3 始め?133の質問2番目まで,初級,
193,7/27/2020 11:06:03,北川景子,,Callan 3 始め?133の質問2番目まで,初級,
194,7/27/2020 11:28:43,北川景子,,Callan 3 始め?133の質問2番目まで,初級,
195,7/27/2020 16:47:54,"深田恭子, 阿部サダヲ, 天海祐希",,callan 5 397ー399 even though,初級,
196,7/27/2020 19:41:45,"福山雅治, 岡田准一",,Callan 3 54 lots of まで,初級,
197,7/27/2020 19:43:12,渡辺直美,,callan 5 340 lendまで,中級,
198,7/27/2020 19:43:31,渡辺直美,,callan 5 340 lendまで,中級,
199,7/27/2020 19:48:11,"米倉涼子, いとうあさこ, 山田孝之",,callan 5 15 turn onまで,初級,
200,7/27/2020 19:48:35,"米倉涼子, いとうあさこ, 山田孝之",,callan 5 15 turn onまで,初級,
201,7/28/2020 11:02:39,"福山雅治, 岡田准一",,Callan 3 54 lots of まで,初級,
202,7/28/2020 11:37:30,北川景子,,callan4 289-291 cleverまで,初級,
